timestamp,gpu_util_pct,mem_used_mib,power_w,temp_c
2026/04/25 11:26:39.521, 96, [N/A], 55.82, 72
2026/04/25 11:26:44.554, 96, [N/A], 55.37, 72
2026/04/25 11:26:49.620, 96, [N/A], 56.53, 74
2026/04/25 11:26:54.690, 96, [N/A], 56.16, 78
2026/04/25 11:26:59.769, 96, [N/A], 57.51, 73
2026/04/25 11:27:04.824, 95, [N/A], 32.63, 70
2026/04/25 11:27:09.872, 96, [N/A], 58.44, 72
2026/04/25 11:27:14.927, 96, [N/A], 58.81, 74
2026/04/25 11:27:19.986, 96, [N/A], 58.17, 72
2026/04/25 11:27:25.056, 95, [N/A], 57.71, 70
2026/04/25 11:27:30.142, 96, [N/A], 57.01, 73
2026/04/25 11:27:35.189, 96, [N/A], 60.46, 72
2026/04/25 11:27:40.246, 96, [N/A], 61.42, 73
2026/04/25 11:27:45.310, 96, [N/A], 57.14, 73
2026/04/25 11:27:50.364, 96, [N/A], 58.69, 74
2026/04/25 11:27:55.416, 96, [N/A], 59.12, 72
2026/04/25 11:28:00.474, 96, [N/A], 58.16, 70
2026/04/25 11:28:05.549, 96, [N/A], 57.46, 73
2026/04/25 11:28:10.620, 96, [N/A], 57.93, 73
2026/04/25 11:28:15.680, 96, [N/A], 50.92, 71
2026/04/25 11:28:20.802, 96, [N/A], 51.03, 72
2026/04/25 11:28:25.851, 96, [N/A], 50.58, 70
2026/04/25 11:28:30.929, 96, [N/A], 52.95, 71
2026/04/25 11:28:35.970, 96, [N/A], 51.85, 72
2026/04/25 11:28:41.017, 96, [N/A], 54.56, 70
2026/04/25 11:28:46.060, 96, [N/A], 50.43, 71
2026/04/25 11:28:51.108, 96, [N/A], 55.11, 71
2026/04/25 11:28:56.155, 96, [N/A], 50.37, 70
2026/04/25 11:29:01.207, 96, [N/A], 53.66, 71
2026/04/25 11:29:06.260, 96, [N/A], 49.94, 72
2026/04/25 11:29:11.315, 96, [N/A], 52.06, 68
